"PlayerId","Player","DraftAge","Position","season","mp_per_g","fg_per_g","fga_per_g","fg3_per_g","fg3a_per_g","fg2_per_g","fg2a_per_g","ft_per_g","fta_per_g","orb_per_g","drb_per_g","trb_per_g","ast_per_g","stl_per_g","blk_per_g","tov_per_g","pf_per_g","pts_per_g","mp","fg_per_mp","fga_per_mp","fg3_per_mp","fg3a_per_mp","fg2_per_mp","fg2a_per_mp","ft_per_mp","fta_per_mp","orb_per_mp","drb_per_mp","trb_per_mp","ast_per_mp","stl_per_mp","blk_per_mp","tov_per_mp","pf_per_mp","pts_per_mp","games","Year"
2076,"Luka Doncic",18.8,"PG","2014-15",2.7,0.3,1,0.3,0.7,0,0.3,1,1.3,0.3,0.3,0.7,0,0,0,0,0.3,2,8,4.5,13.5,4.5,9,0,4.5,13.5,18,4.5,4.5,9,0,0,0,0,4.5,27,3,2015
2076,"Luka Doncic",18.8,"PG","2015-16",13.3,1.4,2.9,0.5,1.3,0.9,1.5,1.1,1.4,0.5,2.2,2.7,2,0.3,0.3,1.4,1.5,4.5,572,3.9,7.8,1.4,3.7,2.5,4.2,2.9,3.8,1.4,5.9,7.2,5.3,0.9,0.9,3.7,4.1,12.1,43,2016
2076,"Luka Doncic",18.8,"PG","2016-17",19.9,2.6,5.7,1,2.9,1.6,2.8,1.7,2.1,1,3.4,4.4,3.7,0.8,0.3,1.9,1.3,7.8,1334,4.6,10.3,1.8,5.2,2.8,5.1,3,3.7,1.8,6.2,8,6.7,1.4,0.5,3.4,2.3,14.1,67,2017
2076,"Luka Doncic",18.8,"PG","2017-18",24.8,5,10.6,1.6,4.9,3.4,5.7,4.3,5.2,1,4.6,5.6,4.5,1.1,0.3,2.1,1.3,15.9,967,7.3,15.4,2.3,7.1,4.9,8.3,6.2,7.5,1.5,6.6,8.1,6.6,1.6,0.4,3.1,1.9,23,39,2018
2088,"Dzanan Musa",18.6,"SF","2015-16",7.8,1,2.8,0.3,1.2,0.7,1.6,0.4,0.6,0.4,0.9,1.3,0.7,0.2,0.1,0.7,1.1,2.7,78,4.6,12.9,1.4,5.5,3.2,7.4,1.8,2.8,1.8,4.2,6,3.2,0.9,0.5,3.2,5.1,12.5,10,2016
2088,"Dzanan Musa",18.6,"SF","2016-17",14.7,1.8,5,0.2,1.9,1.6,3.1,0.7,1.2,0.7,1.6,2.3,0.7,0.8,0.3,0.7,1.4,4.5,147,4.4,12.2,0.5,4.7,3.9,7.6,1.7,2.9,1.7,3.9,5.6,1.7,2,0.7,1.7,3.4,11,10,2017
2088,"Dzanan Musa",18.6,"SF","2017-18",20.5,3.7,7.7,1.2,3.5,2.5,4.2,2.3,3,0.5,2.9,3.3,0.9,0.7,0.2,1.3,1.3,10.8,307,6.4,13.5,2.1,6.1,4.3,7.4,4,5.3,0.8,5,5.9,1.6,1.3,0.4,2.3,2.2,19,15,2018
2114,"Rodions Kurucs",18.2,"PF/C","2014-15",7,3,3,0,0,3,3,1,1,0,0,0,0,0,0,0,0,7,7,15.4,15.4,0,0,15.4,15.4,5.1,5.1,0,0,0,0,0,0,0,0,36,1,2015
2114,"Rodions Kurucs",18.2,"PF/C","2016-17",3,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,3,12,24,0,12,12,12,0,0,0,0,0,0,0,0,0,0,24,1,2017
2114,"Rodions Kurucs",18.2,"PF/C","2017-18",9.5,1.5,2.8,0.5,1.3,1,1.5,0,0,0,0.8,0.8,0.5,1.3,0.3,0.5,2.5,3.5,38,5.7,10.4,1.9,4.7,3.8,5.7,0,0,0,2.8,2.8,1.9,4.7,0.9,1.9,9.5,13.3,4,2018
2124,"Arnoldas Kulboka",20,"PG/SG","2017-18",27.7,2.8,7.4,1.6,4.4,1.2,3,1.8,2.2,0.2,3.4,3.6,0.7,0.7,0.3,1.6,1.1,9.1,498,3.7,9.6,2.1,5.7,1.6,3.9,2.3,2.8,0.3,4.4,4.7,0.9,0.9,0.4,2.1,1.4,11.8,18,2018
